covariate,smd_all,smd_matched,bs_id
tpa_live,0.465846993644956,0.00629246255161272,b13
distance,1.11092301380554,0.0017265391365824,b14
tree_cover,0.29045091449981,0.0798635524023788,b14
forest_type,0.314149936952549,0.0651680347702338,b14
ppt,1.36919972379072,0.123140116297949,b14
dist_flowline,0.0933890243327388,0.0160342074063401,b14
density_flowline,0.715415280634686,0.0444596556171304,b14
wet_freq_z,0.253581559762009,0.0390143647696519,b14
wet_sev_z,0.917250790305103,0.0108573433650449,b14
wet_freq,0.305788115020209,0.0713734418010147,b14
tmax_z,0.185255081969627,0.0145634024072772,b14
spei_freq,0.605983820711461,0.00821906644005025,b14
insect_defo,0.0713878508614162,0.0165199265642543,b14
insect_mort,0.0191933786381902,0.00701863468320916,b14
hurr_ws,0,0,b14
regionatlantic,0.121591746611412,0.0197111249175798,b14
regionlakes,0.968651844934116,0.0264791229028299,b14
regionpacific,1.73407377652402,0.0909514480143587,b14
tpa_live,0.468024270091335,0.0286070310509658,b14
distance,1.09938970405946,0.00174477423616514,b15
tree_cover,0.30043747188527,0.0876479343343356,b15
forest_type,0.321860157513349,0.0460603825238241,b15
ppt,1.30137452616977,0.1214619893158,b15
dist_flowline,0.0929495450471214,0.00648750451379747,b15
density_flowline,0.727155573842832,0.0386793329622662,b15
wet_freq_z,0.257658124897999,0.0474129985416217,b15
wet_sev_z,0.911183592449508,0.0202905268332017,b15
wet_freq,0.288209542265891,0.0721648921451801,b15
tmax_z,0.180064442142403,0.0407023619744323,b15
spei_freq,0.608155226463755,0.0187745336787272,b15
insect_defo,0.0599824555203696,0.00567726140749309,b15
insect_mort,0.0316832661763663,0.0109483956977584,b15
hurr_ws,0,0,b15
regionatlantic,0.134467100333488,0.0198765572247281,b15
regionlakes,0.976023286527583,0.0301038183700672,b15
regionpacific,1.65397813640805,0.0941541763120625,b15
tpa_live,0.467582776035988,0.0260311068735482,b15
distance,1.10232619342867,0.00160382214456354,b16
tree_cover,0.29823623022511,0.0670954004602325,b16
forest_type,0.32569426036229,0.0694524757334987,b16
ppt,1.40013936279287,0.135615478765373,b16
dist_flowline,0.0888649868043737,0.0194642048087858,b16
density_flowline,0.760703639417962,0.0638364012089873,b16
wet_freq_z,0.271506017132854,0.0536414989483509,b16
wet_sev_z,0.910210247649081,0.00738818572369504,b16
wet_freq,0.325694928600819,0.069291127831302,b16
tmax_z,0.162927783416643,0.0286422662157324,b16
spei_freq,0.563625319617125,0.0234826144524326,b16
insect_defo,0.0560372344098071,0.00168483771590588,b16
insect_mort,0.00984498497402717,0.0156646100954972,b16
hurr_ws,0,0,b16
regionatlantic,0.108846037878759,0.0137964044714094,b16
regionlakes,0.959265226104928,0.0345409757940415,b16
regionpacific,1.73802512169409,0.0960821590542376,b16
tpa_live,0.47056324645069,0.0049667512599878,b16
distance,1.10066569096692,0.00165034463977386,b17
tree_cover,0.291087189311656,0.077853814101599,b17
forest_type,0.332317419365451,0.0767218529284006,b17
ppt,1.37781582864486,0.1312087799554,b17
dist_flowline,0.077012240951577,0.0233293050847985,b17
density_flowline,0.731297980744425,0.061004865324975,b17
wet_freq_z,0.277257273333911,0.0431026105949402,b17
wet_sev_z,0.899227387832185,5.02195190310375e-05,b17
wet_freq,0.302469569834742,0.0630262004062449,b17
tmax_z,0.166675982731356,0.0278348580224847,b17
spei_freq,0.579650566014826,0.000576605830582934,b17
insect_defo,0.0520601296148771,0.00977986617025063,b17
insect_mort,0.0282351266359537,0.0255205053289915,b17
hurr_ws,0,0,b17
regionatlantic,0.0931010397767757,0.00132710059542543,b17
regionlakes,0.938569637811219,0.0442987203751929,b17
regionpacific,1.71776498065441,0.0918501696848324,b17
tpa_live,0.479878453695944,0.0173084039290038,b17
distance,1.10530228679016,0.00171753107608651,b18
tree_cover,0.307563859461441,0.0800778290598245,b18
forest_type,0.325574122186131,0.0477062122128876,b18
ppt,1.39857808593674,0.142650154623127,b18
dist_flowline,0.0913963375207756,0.027085799044253,b18
density_flowline,0.778790061324767,0.0616522237408606,b18
wet_freq_z,0.271570186828648,0.0497737686077562,b18
wet_sev_z,0.925569624445068,0.0124840705191324,b18
wet_freq,0.31522878803619,0.0793805993606877,b18
tmax_z,0.201933064385298,0.028441353820147,b18
spei_freq,0.61682296648976,0.00428143994410719,b18
insect_defo,0.0412750965755113,0.0066772032606908,b18
insect_mort,0.0226015126455517,0.0164814431909138,b18
hurr_ws,0,0,b18
regionatlantic,0.114134629830783,0.00468614382734781,b18
regionlakes,0.968650117886241,0.0359020258307684,b18
regionpacific,1.74823541820469,0.0639344568682693,b18
tpa_live,0.479426251878637,0.0199618138513444,b18
distance,1.08846457562102,0.00174881574228432,b19
