year,region,group,y_mean,y_sd,n,se,y_lo,y_hi,n_max,plot_pt,aggregation
2018,Lakes,All,5.60820338459189,9.90269637603574,149099,0.0256457909681739,5.55793763429427,5.65846913488951,149935,TRUE,by_group
2018,Pacific,All,1.76158561138545,4.76710805361252,17946,0.035585343655706,1.69183833782027,1.83133288495064,18732,TRUE,by_group
2019,Atlantic,All,2.19406622085668,6.18465320258381,1084565,0.00593864766172816,2.18242647143969,2.20570597027367,1251317,TRUE,by_group
2019,Gulf,All,4.65336788864869,13.2332847533072,1240849,0.0118797743139019,4.63008353099344,4.67665224630394,1323059,TRUE,by_group
2019,Lakes,All,6.0996122554475,10.2216957938774,148546,0.0265211572743094,6.04763078718985,6.15159372370514,149935,TRUE,by_group
2019,Pacific,All,1.75524899992749,4.78997391355013,17728,0.0359752049436925,1.68473759823785,1.82576040161713,18732,TRUE,by_group
2020,Atlantic,All,3.81682000555399,10.1111033998558,1053679,0.00985018504894035,3.79751364285807,3.83612636824992,1251317,TRUE,by_group
2020,Gulf,All,5.60122764787351,12.3680616670348,1111975,0.0117288148419283,5.57823917078333,5.62421612496369,1323059,TRUE,by_group
2020,Lakes,All,6.21578261490783,10.2899398296675,146388,0.0268942908059628,6.16306980492814,6.26849542488752,149935,TRUE,by_group
2020,Pacific,All,1.06565836919864,2.99043247515316,17569,0.0225611108283333,1.02143859197511,1.10987814642218,18732,TRUE,by_group
2021,Atlantic,All,3.45689624189648,9.74835349828186,994665,0.00977446174342237,3.43773829687938,3.47605418691359,1251317,TRUE,by_group
2021,Gulf,All,5.60867656516405,12.3781361420342,1110461,0.0117463679216853,5.58565368403755,5.63169944629055,1323059,TRUE,by_group
2021,Lakes,All,2.47907853450687,5.76976381088113,142886,0.0152638185993385,2.44916145005216,2.50899561896157,149935,TRUE,by_group
2021,Pacific,All,1.25587375454655,3.46132611044358,17016,0.0265346754475554,1.20386579066935,1.30788171842376,18732,TRUE,by_group
2022,Atlantic,All,4.47274440359624,11.8162696918306,807873,0.0131464607087914,4.44697734060701,4.49851146658547,1251317,TRUE,by_group
2022,Gulf,All,7.6563922537981,18.419406323573,1043774,0.0180290312315162,7.62105535258433,7.69172915501187,1323059,TRUE,by_group
2022,Lakes,All,2.52799414258516,6.00773958990045,137237,0.016217185771134,2.49620845847373,2.55977982669658,149935,TRUE,by_group
2022,Pacific,All,0.82321500507641,3.38498193727945,15983,0.0267748598254099,0.770736279818606,0.875693730334213,18732,TRUE,by_group
2023,Atlantic,All,5.76937588316123,14.1139542517774,510024,0.0197630240387867,5.73064035604521,5.80811141027725,1251317,TRUE,by_group
2023,Gulf,All,6.35886874542149,15.9675885016187,855251,0.0172660318069829,6.3250273230798,6.39271016776317,1323059,TRUE,by_group
2023,Lakes,All,1.92066366150928,8.74676250320804,3148,0.15589420537004,1.615111018984,2.22621630403456,149935,FALSE,by_group
2023,Pacific,All,0.819450597311556,3.66765354975024,11932,0.0335762107901627,0.753641224162837,0.885259970460275,18732,TRUE,by_group
